DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2023,7605,999,1,3,150,
STATSNZ:CEN23_ECI_017(1.0),2023,7609,999,4,1,177,
STATSNZ:CEN23_ECI_017(1.0),2023,7620,999,6,1,336,
STATSNZ:CEN23_ECI_017(1.0),2023,7612,999,5,3,27,
STATSNZ:CEN23_ECI_017(1.0),2023,7610,999,2,1,3390,
STATSNZ:CEN23_ECI_017(1.0),2023,7602,999,6,1,726,
STATSNZ:CEN23_ECI_017(1.0),2023,7616,999,3,3,36,
STATSNZ:CEN23_ECI_017(1.0),2023,7615,999,3,2,10266,
STATSNZ:CEN23_ECI_017(1.0),2023,7609,999,5,1,231,
STATSNZ:CEN23_ECI_017(1.0),2023,7602,999,4,2,12261,
STATSNZ:CEN23_ECI_017(1.0),2023,7611,999,3,1,7929,
STATSNZ:CEN23_ECI_017(1.0),2023,7617,999,1,3,60,
STATSNZ:CEN23_ECI_017(1.0),2023,7618,999,4,2,14685,
STATSNZ:CEN23_ECI_017(1.0),2023,7604,999,6,3,6,
STATSNZ:CEN23_ECI_017(1.0),2023,7615,999,2,1,5202,
STATSNZ:CEN23_ECI_017(1.0),2023,7605,999,4,3,36,
STATSNZ:CEN23_ECI_017(1.0),2023,7603,999,4,2,18009,
STATSNZ:CEN23_ECI_017(1.0),2023,7611,999,5,3,18,
STATSNZ:CEN23_ECI_017(1.0),2023,7617,999,3,2,24042,
STATSNZ:CEN23_ECI_017(1.0),2023,7620,999,5,3,6,
STATSNZ:CEN23_ECI_017(1.0),2023,7621,999,5,3,3,
STATSNZ:CEN23_ECI_017(1.0),2023,7605,999,2,1,1815,
STATSNZ:CEN23_ECI_017(1.0),2023,7610,999,4,1,11973,
STATSNZ:CEN23_ECI_017(1.0),2023,7617,999,1,1,7263,
STATSNZ:CEN23_ECI_017(1.0),2023,7621,999,2,3,48,
STATSNZ:CEN23_ECI_017(1.0),2023,7601,999,1,3,222,
STATSNZ:CEN23_ECI_017(1.0),2023,7607,999,1,2,18801,
STATSNZ:CEN23_ECI_017(1.0),2023,7609,999,2,2,555,
STATSNZ:CEN23_ECI_017(1.0),2023,7610,999,6,3,9,
STATSNZ:CEN23_ECI_017(1.0),2023,7616,999,2,3,42,
STATSNZ:CEN23_ECI_017(1.0),2023,7616,999,2,1,4827,
STATSNZ:CEN23_ECI_017(1.0),2023,7614,999,1,1,27603,
STATSNZ:CEN23_ECI_017(1.0),2023,7614,999,6,2,330,
STATSNZ:CEN23_ECI_017(1.0),2023,7616,999,4,2,40584,
STATSNZ:CEN23_ECI_017(1.0),2023,7607,999,3,1,3549,
STATSNZ:CEN23_ECI_017(1.0),2023,7608,999,6,2,6,
STATSNZ:CEN23_ECI_017(1.0),2023,7620,999,2,1,8529,
STATSNZ:CEN23_ECI_017(1.0),2023,7615,999,1,1,16185,
STATSNZ:CEN23_ECI_017(1.0),2023,7615,999,6,3,0,
STATSNZ:CEN23_ECI_017(1.0),2023,7604,999,5,1,1545,
STATSNZ:CEN23_ECI_017(1.0),2023,7611,999,6,2,255,
STATSNZ:CEN23_ECI_017(1.0),2023,7618,999,5,3,3,
STATSNZ:CEN23_ECI_017(1.0),2023,7612,999,5,1,1680,
STATSNZ:CEN23_ECI_017(1.0),2023,7615,999,2,2,5739,
STATSNZ:CEN23_ECI_017(1.0),2023,7605,999,3,3,0,
STATSNZ:CEN23_ECI_017(1.0),2023,7618,999,3,1,20517,
STATSNZ:CEN23_ECI_017(1.0),2023,7605,999,3,2,792,
STATSNZ:CEN23_ECI_017(1.0),2023,7619,999,1,2,12297,
STATSNZ:CEN23_ECI_017(1.0),2023,7608,999,3,2,15,
STATSNZ:CEN23_ECI_017(1.0),2023,7601,999,6,2,441,
STATSNZ:CEN23_ECI_017(1.0),2023,7601,999,3,3,15,
STATSNZ:CEN23_ECI_017(1.0),2023,7604,999,6,2,441,
STATSNZ:CEN23_ECI_017(1.0),2023,7618,999,1,3,54,
STATSNZ:CEN23_ECI_017(1.0),2023,7610,999,1,1,24573,
STATSNZ:CEN23_ECI_017(1.0),2023,7614,999,1,3,222,
STATSNZ:CEN23_ECI_017(1.0),2023,7606,999,1,1,26772,
STATSNZ:CEN23_ECI_017(1.0),2023,7602,999,1,3,315,
STATSNZ:CEN23_ECI_017(1.0),2023,7603,999,2,1,2484,
STATSNZ:CEN23_ECI_017(1.0),2023,7611,999,6,3,3,
STATSNZ:CEN23_ECI_017(1.0),2023,7608,999,4,1,9,
STATSNZ:CEN23_ECI_017(1.0),2023,7612,999,6,1,399,
STATSNZ:CEN23_ECI_017(1.0),2023,7602,999,6,2,543,
STATSNZ:CEN23_ECI_017(1.0),2023,7615,999,4,3,60,
STATSNZ:CEN23_ECI_017(1.0),2023,7609,999,4,2,240,
STATSNZ:CEN23_ECI_017(1.0),2023,7603,999,3,3,6,
STATSNZ:CEN23_ECI_017(1.0),2023,7602,999,5,1,1236,
STATSNZ:CEN23_ECI_017(1.0),2023,7615,999,4,2,11751,
STATSNZ:CEN23_ECI_017(1.0),2023,7603,999,5,2,1365,
STATSNZ:CEN23_ECI_017(1.0),2023,7613,999,5,1,1332,
STATSNZ:CEN23_ECI_017(1.0),2023,7616,999,2,2,4851,
STATSNZ:CEN23_ECI_017(1.0),2023,7614,999,1,2,29112,
STATSNZ:CEN23_ECI_017(1.0),2023,7621,999,3,2,3045,
STATSNZ:CEN23_ECI_017(1.0),2023,7608,999,3,3,0,
STATSNZ:CEN23_ECI_017(1.0),2023,7617,999,5,1,399,
STATSNZ:CEN23_ECI_017(1.0),2023,7606,999,5,2,1770,
STATSNZ:CEN23_ECI_017(1.0),2023,7601,999,6,1,582,
STATSNZ:CEN23_ECI_017(1.0),2023,7608,999,6,3,0,
STATSNZ:CEN23_ECI_017(1.0),2023,7613,999,4,3,72,
STATSNZ:CEN23_ECI_017(1.0),2023,7609,999,6,3,0,
STATSNZ:CEN23_ECI_017(1.0),2023,7614,999,4,1,10194,
STATSNZ:CEN23_ECI_017(1.0),2023,7616,999,6,2,993,
STATSNZ:CEN23_ECI_017(1.0),2023,7603,999,1,3,171,
STATSNZ:CEN23_ECI_017(1.0),2023,7610,999,1,3,507,
STATSNZ:CEN23_ECI_017(1.0),2023,7609,999,5,3,3,
STATSNZ:CEN23_ECI_017(1.0),2023,7601,999,6,3,12,
STATSNZ:CEN23_ECI_017(1.0),2023,7606,999,5,3,9,
STATSNZ:CEN23_ECI_017(1.0),2023,7614,999,5,1,1383,
STATSNZ:CEN23_ECI_017(1.0),2023,7607,999,2,2,3759,
STATSNZ:CEN23_ECI_017(1.0),2023,7607,999,6,2,216,
STATSNZ:CEN23_ECI_017(1.0),2023,7620,999,3,1,7305,
STATSNZ:CEN23_ECI_017(1.0),2023,7616,999,6,1,1065,
STATSNZ:CEN23_ECI_017(1.0),2023,7607,999,6,3,3,
STATSNZ:CEN23_ECI_017(1.0),2023,7611,999,5,1,1428,
STATSNZ:CEN23_ECI_017(1.0),2023,7605,999,5,2,924,
STATSNZ:CEN23_ECI_017(1.0),2023,7601,999,5,3,0,
STATSNZ:CEN23_ECI_017(1.0),2023,7612,999,1,2,28113,
STATSNZ:CEN23_ECI_017(1.0),2023,7613,999,2,2,1923,
STATSNZ:CEN23_ECI_017(1.0),2023,7620,999,3,2,7479,
STATSNZ:CEN23_ECI_017(1.0),2023,7619,999,3,2,19752,
STATSNZ:CEN23_ECI_017(1.0),2023,7609,999,5,2,234,
STATSNZ:CEN23_ECI_017(1.0),2023,7617,999,4,3,39,
STATSNZ:CEN23_ECI_017(1.0),2023,7619,999,3,1,19608,
STATSNZ:CEN23_ECI_017(1.0),2023,7613,999,3,3,30,
STATSNZ:CEN23_ECI_017(1.0),2023,7612,999,4,1,15225,
STATSNZ:CEN23_ECI_017(1.0),2023,7610,999,2,3,87,
STATSNZ:CEN23_ECI_017(1.0),2023,7615,999,5,3,9,
STATSNZ:CEN23_ECI_017(1.0),2023,7611,999,1,3,222,
STATSNZ:CEN23_ECI_017(1.0),2023,7607,999,5,2,660,
STATSNZ:CEN23_ECI_017(1.0),2023,7608,999,5,2,3,
STATSNZ:CEN23_ECI_017(1.0),2023,7611,999,1,1,14937,
STATSNZ:CEN23_ECI_017(1.0),2023,7608,999,2,2,144,
STATSNZ:CEN23_ECI_017(1.0),2023,7611,999,1,2,15363,
STATSNZ:CEN23_ECI_017(1.0),2023,7603,999,2,3,36,
STATSNZ:CEN23_ECI_017(1.0),2023,7621,999,3,3,27,
STATSNZ:CEN23_ECI_017(1.0),2023,7603,999,3,2,1110,
STATSNZ:CEN23_ECI_017(1.0),2023,7616,999,5,1,2139,
STATSNZ:CEN23_ECI_017(1.0),2023,7614,999,6,3,0,
STATSNZ:CEN23_ECI_017(1.0),2023,7615,999,2,3,72,
STATSNZ:CEN23_ECI_017(1.0),2023,7616,999,5,2,2178,
STATSNZ:CEN23_ECI_017(1.0),2023,7603,999,6,3,3,
STATSNZ:CEN23_ECI_017(1.0),2023,7621,999,4,2,5202,
STATSNZ:CEN23_ECI_017(1.0),2023,7606,999,2,2,11448,
STATSNZ:CEN23_ECI_017(1.0),2023,7608,999,1,2,516,
STATSNZ:CEN23_ECI_017(1.0),2023,7601,999,4,1,3570,
STATSNZ:CEN23_ECI_017(1.0),2023,7617,999,5,3,3,
STATSNZ:CEN23_ECI_017(1.0),2023,7620,999,6,2,309,
STATSNZ:CEN23_ECI_017(1.0),2023,7613,999,6,3,3,
STATSNZ:CEN23_ECI_017(1.0),2023,7606,999,4,1,19734,
STATSNZ:CEN23_ECI_017(1.0),2023,7604,999,5,2,1623,
STATSNZ:CEN23_ECI_017(1.0),2023,7621,999,5,2,504,
STATSNZ:CEN23_ECI_017(1.0),2023,7621,999,4,3,24,
STATSNZ:CEN23_ECI_017(1.0),2023,7614,999,5,3,9,
STATSNZ:CEN23_ECI_017(1.0),2023,7618,999,2,2,7209,
STATSNZ:CEN23_ECI_017(1.0),2023,7605,999,2,2,1767,
STATSNZ:CEN23_ECI_017(1.0),2023,7616,999,1,3,210,
STATSNZ:CEN23_ECI_017(1.0),2023,7620,999,5,1,651,
STATSNZ:CEN23_ECI_017(1.0),2023,7607,999,1,1,18717,
STATSNZ:CEN23_ECI_017(1.0),2023,7605,999,1,1,18651,
STATSNZ:CEN23_ECI_017(1.0),2023,7619,999,6,1,279,
STATSNZ:CEN23_ECI_017(1.0),2023,7618,999,6,2,150,
STATSNZ:CEN23_ECI_017(1.0),2023,7606,999,6,2,558,
STATSNZ:CEN23_ECI_017(1.0),2023,7604,999,3,2,2880,
STATSNZ:CEN23_ECI_017(1.0),2023,7619,999,5,1,1089,
STATSNZ:CEN23_ECI_017(1.0),2023,7609,999,3,2,186,
STATSNZ:CEN23_ECI_017(1.0),2023,7612,999,5,2,1635,
STATSNZ:CEN23_ECI_017(1.0),2023,7610,999,2,2,3396,
STATSNZ:CEN23_ECI_017(1.0),2023,7602,999,2,3,45,
STATSNZ:CEN23_ECI_017(1.0),2023,7602,999,5,2,1260,
STATSNZ:CEN23_ECI_017(1.0),2023,7606,999,4,2,19731,
STATSNZ:CEN23_ECI_017(1.0),2023,7603,999,4,3,45,
STATSNZ:CEN23_ECI_017(1.0),2023,7602,999,3,1,1470,
STATSNZ:CEN23_ECI_017(1.0),2023,7619,999,2,1,12003,
STATSNZ:CEN23_ECI_017(1.0),2023,7604,999,2,1,4128,
STATSNZ:CEN23_ECI_017(1.0),2023,7618,999,2,1,6486,
STATSNZ:CEN23_ECI_017(1.0),2023,7611,999,4,1,17586,
STATSNZ:CEN23_ECI_017(1.0),2023,7615,999,1,3,201,
STATSNZ:CEN23_ECI_017(1.0),2023,7613,999,1,1,8844,
STATSNZ:CEN23_ECI_017(1.0),2023,7602,999,4,3,57,
STATSNZ:CEN23_ECI_017(1.0),2023,7618,999,5,2,399,
STATSNZ:CEN23_ECI_017(1.0),2023,7619,999,6,3,6,
STATSNZ:CEN23_ECI_017(1.0),2023,7606,999,5,1,1785,
STATSNZ:CEN23_ECI_017(1.0),2023,7602,999,1,2,44220,
STATSNZ:CEN23_ECI_017(1.0),2023,7608,999,1,3,6,
STATSNZ:CEN23_ECI_017(1.0),2023,7610,999,6,2,258,
STATSNZ:CEN23_ECI_017(1.0),2023,7616,999,6,3,9,
STATSNZ:CEN23_ECI_017(1.0),2023,7608,999,4,2,15,
STATSNZ:CEN23_ECI_017(1.0),2023,7614,999,3,3,21,
STATSNZ:CEN23_ECI_017(1.0),2023,7602,999,1,1,42066,
STATSNZ:CEN23_ECI_017(1.0),2023,7606,999,6,3,9,
STATSNZ:CEN23_ECI_017(1.0),2023,7612,999,1,1,27399,
STATSNZ:CEN23_ECI_017(1.0),2023,7602,999,2,2,3789,
STATSNZ:CEN23_ECI_017(1.0),2023,7604,999,2,3,60,
STATSNZ:CEN23_ECI_017(1.0),2023,7618,999,6,3,3,
STATSNZ:CEN23_ECI_017(1.0),2023,7621,999,1,1,32013,
STATSNZ:CEN23_ECI_017(1.0),2023,7607,999,5,3,12,
STATSNZ:CEN23_ECI_017(1.0),2023,7610,999,4,2,13581,
STATSNZ:CEN23_ECI_017(1.0),2023,7607,999,1,3,222,
STATSNZ:CEN23_ECI_017(1.0),2023,7603,999,6,1,456,
STATSNZ:CEN23_ECI_017(1.0),2023,7617,999,3,1,23325,
STATSNZ:CEN23_ECI_017(1.0),2023,7610,999,3,1,2310,
STATSNZ:CEN23_ECI_017(1.0),2023,7609,999,6,2,45,
STATSNZ:CEN23_ECI_017(1.0),2023,7608,999,2,1,144,
STATSNZ:CEN23_ECI_017(1.0),2023,7605,999,4,1,8034,
STATSNZ:CEN23_ECI_017(1.0),2023,7604,999,1,3,261,
STATSNZ:CEN23_ECI_017(1.0),2023,7617,999,6,1,162,
STATSNZ:CEN23_ECI_017(1.0),2023,7620,999,4,3,42,
STATSNZ:CEN23_ECI_017(1.0),2023,7603,999,1,2,18972,
STATSNZ:CEN23_ECI_017(1.0),2023,7620,999,5,2,600,
